nivel_geo,ano,formulario_clean,evento_clean,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc,tx_total_100k,tx_fem_100k,tx_masc_100k
Estado,2015,Formulário 7,Pessoa Desaparecida,10107,5012,5095,11070711,5688372,5382339,91.294949,88.109568,94.661447
Estado,2015,Formulário 7,Pessoa Localizada,7644,3851,3793,11070711,5688372,5382339,69.047056,67.699511,70.471221
Estado,2016,Formulário 7,Pessoa Desaparecida,9533,4562,4971,11109776,5709062,5400714,85.807311,79.908048,92.043385
Estado,2016,Formulário 7,Pessoa Localizada,7622,3638,3984,11109776,5709062,5400714,68.606244,63.723253,73.768024
Estado,2017,Formulário 7,Pessoa Desaparecida,8999,4197,4802,11141074,5726090,5414984,80.773182,73.296089,88.679856
Estado,2017,Formulário 7,Pessoa Localizada,8074,3802,4272,11141074,5726090,5414984,72.470572,66.397839,78.8922
Estado,2018,Formulário 7,Pessoa Desaparecida,9082,3966,5116,11167531,5740657,5426874,81.325048,69.086169,94.271582
Estado,2018,Formulário 7,Pessoa Localizada,10448,4576,5872,11167531,5740657,5426874,93.556938,79.712131,108.202254
Estado,2019,Formulário 7,Pessoa Desaparecida,8821,3778,5043,11194346,5754837,5439509,78.798708,65.649123,92.710574
Estado,2019,Formulário 7,Pessoa Localizada,8829,3889,4940,11194346,5754837,5439509,78.870172,67.577935,90.81702
Estado,2020,Formulário 7,Pessoa Desaparecida,6439,2661,3778,11220286,5768602,5451684,57.387129,46.129027,69.299688
Estado,2020,Formulário 7,Pessoa Localizada,6050,2589,3461,11220286,5768602,5451684,53.920194,44.880891,63.484971
Estado,2021,Formulário 7,Pessoa Desaparecida,6672,2567,4105,11227789,5773931,5453858,59.423988,44.458446,75.26782
Estado,2021,Formulário 7,Pessoa Localizada,6497,2721,3776,11227789,5773931,5453858,57.865355,47.125606,69.235393
Estado,2022,Formulário 7,Pessoa Desaparecida,7140,2745,4395,11220506,5772043,5448463,63.633494,47.556818,80.664951
Estado,2022,Formulário 7,Pessoa Localizada,7607,3309,4298,11220506,5772043,5448463,67.795517,57.328055,78.884632
Estado,2023,Formulário 7,Pessoa Desaparecida,7533,2753,4780,11222292,5774114,5448178,67.125325,47.67831,87.735753
Estado,2023,Formulário 7,Pessoa Localizada,7344,2875,4469,11222292,5774114,5448178,65.441177,49.791189,82.027423
Estado,2024,Formulário 7,Pessoa Desaparecida,8156,3157,4999,11229915,5778778,5451137,72.627442,54.630927,91.705639
Estado,2024,Formulário 7,Pessoa Localizada,8039,3257,4782,11229915,5778778,5451137,71.585582,56.361397,87.724818
Estado,2025,Formulário 7,Pessoa Desaparecida,7611,2885,4726,11233263,5781307,5451956,67.754133,49.902211,86.684485
Estado,2025,Formulário 7,Pessoa Localizada,7661,3016,4645,11233263,5781307,5451956,68.19924,52.168134,85.19878
