nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,formulario_clean,evento_clean,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,Formulário 4,Furto de veículo,20420,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,Formulário 4,Roubo a instituição financeira,77,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,Formulário 4,Roubo de carga,261,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,Formulário 4,Roubo de veículo,18138,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,Formulário 4,Tráfico de drogas,9176,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,Formulário 4,Furto de veículo,19541,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,Formulário 4,Roubo a instituição financeira,75,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,Formulário 4,Roubo de carga,330,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,Formulário 4,Roubo de veículo,17614,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,Formulário 4,Tráfico de drogas,8914,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2017,Formulário 4,Furto de veículo,16893,0,0,11141074,5726090,5414984
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2017,Formulário 4,Roubo a instituição financeira,215,0,0,11141074,5726090,5414984
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2017,Formulário 4,Roubo de carga,414,0,0,11141074,5726090,5414984
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2017,Formulário 4,Roubo de veículo,17859,0,0,11141074,5726090,5414984
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2017,Formulário 4,Tráfico de drogas,9458,0,0,11141074,5726090,5414984
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2018,Formulário 4,Furto de veículo,14405,0,0,11167531,5740657,5426874
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2018,Formulário 4,Roubo a instituição financeira,81,0,0,11167531,5740657,5426874
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2018,Formulário 4,Roubo de carga,396,0,0,11167531,5740657,5426874
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2018,Formulário 4,Roubo de veículo,16121,0,0,11167531,5740657,5426874
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2018,Formulário 4,Tráfico de drogas,11782,0,0,11167531,5740657,5426874
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2019,Formulário 4,Furto de veículo,13093,0,0,11194346,5754837,5439509
