nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-01,Formulário 4,Furto de veículo,1644,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-01,Formulário 4,Roubo a instituição financeira,6,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-01,Formulário 4,Roubo de carga,17,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-01,Formulário 4,Roubo de veículo,1318,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-01,Formulário 4,Tráfico de drogas,748,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-02,Formulário 4,Furto de veículo,1611,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-02,Formulário 4,Roubo a instituição financeira,5,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-02,Formulário 4,Roubo de carga,15,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-02,Formulário 4,Roubo de veículo,1191,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-02,Formulário 4,Tráfico de drogas,685,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-03,Formulário 4,Furto de veículo,1661,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-03,Formulário 4,Roubo a instituição financeira,6,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-03,Formulário 4,Roubo de carga,17,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-03,Formulário 4,Roubo de veículo,1479,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-03,Formulário 4,Tráfico de drogas,923,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-04,Formulário 4,Furto de veículo,1603,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-04,Formulário 4,Roubo a instituição financeira,6,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-04,Formulário 4,Roubo de carga,14,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-04,Formulário 4,Roubo de veículo,1296,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-04,Formulário 4,Tráfico de drogas,913,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-05,Formulário 4,Furto de veículo,1670,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-05,Formulário 4,Roubo a instituição financeira,3,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-05,Formulário 4,Roubo de carga,25,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-05,Formulário 4,Roubo de veículo,1366,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-05,Formulário 4,Tráfico de drogas,995,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 4,Furto de veículo,1557,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 4,Roubo a instituição financeira,4,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 4,Roubo de carga,17,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 4,Roubo de veículo,1276,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 4,Tráfico de drogas,845,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 4,Furto de veículo,1650,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 4,Roubo a instituição financeira,9,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 4,Roubo de carga,10,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 4,Roubo de veículo,1369,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 4,Tráfico de drogas,844,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 4,Furto de veículo,1846,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 4,Roubo a instituição financeira,9,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 4,Roubo de carga,31,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 4,Roubo de veículo,1943,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 4,Tráfico de drogas,526,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 4,Furto de veículo,1883,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 4,Roubo a instituição financeira,9,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 4,Roubo de carga,35,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 4,Roubo de veículo,2126,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 4,Tráfico de drogas,472,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 4,Furto de veículo,1940,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 4,Roubo a instituição financeira,4,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 4,Roubo de carga,29,,,11070711,5688372,5382339
