nivel_geo,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,formulario_clean,evento_clean,num_total,pop_total,tx_total_100k
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2015,Formulário 8,Mandado de prisão cumprido,0,1447705,0.0
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2016,Formulário 8,Mandado de prisão cumprido,6032,1445430,417.31526258622
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2017,Formulário 8,Mandado de prisão cumprido,6965,1441692,483.11289790052246
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2018,Formulário 8,Mandado de prisão cumprido,6403,1437183,445.5243347576474
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2019,Formulário 8,Mandado de prisão cumprido,6008,1431518,419.69433845749757
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2020,Formulário 8,Mandado de prisão cumprido,5873,1425216,412.0778885446136
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2021,Formulário 8,Mandado de prisão cumprido,6430,1416951,453.7912743630514
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2022,Formulário 8,Mandado de prisão cumprido,6966,1407564,494.8975677127292
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2023,Formulário 8,Mandado de prisão cumprido,8464,1405685,602.1263654374914
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2024,Formulário 8,Mandado de prisão cumprido,8577,1389322,617.3514851128824
Estado,43,43,RIO GRANDE DO SUL (TOTAL),RIO GRANDE DO SUL (TOTAL),2025,Formulário 8,Mandado de prisão cumprido,10745,1388794,773.6928586961061
Município,4300034,4300034,ACEGUÁ,Aceguá,2015,Formulário 8,Mandado de prisão cumprido,0,4392,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2016,Formulário 8,Mandado de prisão cumprido,1,4370,22.883295194508012
Município,4300034,4300034,ACEGUÁ,Aceguá,2017,Formulário 8,Mandado de prisão cumprido,0,4363,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2018,Formulário 8,Mandado de prisão cumprido,0,4336,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2019,Formulário 8,Mandado de prisão cumprido,0,4333,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2020,Formulário 8,Mandado de prisão cumprido,1,4317,23.16423442205235
Município,4300034,4300034,ACEGUÁ,Aceguá,2021,Formulário 8,Mandado de prisão cumprido,0,4289,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2022,Formulário 8,Mandado de prisão cumprido,1,4270,23.4192037470726
Município,4300034,4300034,ACEGUÁ,Aceguá,2023,Formulário 8,Mandado de prisão cumprido,1,4235,23.61275088547816
Município,4300034,4300034,ACEGUÁ,Aceguá,2024,Formulário 8,Mandado de prisão cumprido,0,4253,0.0
Município,4300034,4300034,ACEGUÁ,Aceguá,2025,Formulário 8,Mandado de prisão cumprido,1,4251,23.52387673488591
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2015,Formulário 8,Mandado de prisão cumprido,0,3848,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2016,Formulário 8,Mandado de prisão cumprido,0,3878,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2017,Formulário 8,Mandado de prisão cumprido,0,3907,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2018,Formulário 8,Mandado de prisão cumprido,0,3916,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2019,Formulário 8,Mandado de prisão cumprido,0,3937,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2020,Formulário 8,Mandado de prisão cumprido,0,3962,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2021,Formulário 8,Mandado de prisão cumprido,0,3968,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2022,Formulário 8,Mandado de prisão cumprido,0,3985,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2023,Formulário 8,Mandado de prisão cumprido,0,3970,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2024,Formulário 8,Mandado de prisão cumprido,0,4000,0.0
Município,4300059,4300059,ÁGUA SANTA,Água Santa,2025,Formulário 8,Mandado de prisão cumprido,0,4003,0.0
Município,4300109,4300109,AGUDO,Agudo,2015,Formulário 8,Mandado de prisão cumprido,0,16827,0.0
Município,4300109,4300109,AGUDO,Agudo,2016,Formulário 8,Mandado de prisão cumprido,25,16788,148.91589230402667
Município,4300109,4300109,AGUDO,Agudo,2017,Formulário 8,Mandado de prisão cumprido,8,16747,47.76974980593539
Município,4300109,4300109,AGUDO,Agudo,2018,Formulário 8,Mandado de prisão cumprido,16,16702,95.79691054963477
Município,4300109,4300109,AGUDO,Agudo,2019,Formulário 8,Mandado de prisão cumprido,27,16660,162.06482593037214
Município,4300109,4300109,AGUDO,Agudo,2020,Formulário 8,Mandado de prisão cumprido,16,16618,96.28114093152004
Município,4300109,4300109,AGUDO,Agudo,2021,Formulário 8,Mandado de prisão cumprido,15,16568,90.53597295992274
Município,4300109,4300109,AGUDO,Agudo,2022,Formulário 8,Mandado de prisão cumprido,7,16478,42.48088360237893
Município,4300109,4300109,AGUDO,Agudo,2023,Formulário 8,Mandado de prisão cumprido,12,16399,73.17519360936643
Município,4300109,4300109,AGUDO,Agudo,2024,Formulário 8,Mandado de prisão cumprido,17,16346,104.00097883274195
Município,4300109,4300109,AGUDO,Agudo,2025,Formulário 8,Mandado de prisão cumprido,19,16341,116.27195398078453
Município,4300208,4300208,AJURICABA,Ajuricaba,2015,Formulário 8,Mandado de prisão cumprido,0,7252,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2016,Formulário 8,Mandado de prisão cumprido,1,7220,13.850415512465375
Município,4300208,4300208,AJURICABA,Ajuricaba,2017,Formulário 8,Mandado de prisão cumprido,0,7182,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2018,Formulário 8,Mandado de prisão cumprido,1,7140,14.005602240896357
Município,4300208,4300208,AJURICABA,Ajuricaba,2019,Formulário 8,Mandado de prisão cumprido,2,7090,28.208744710860366
Município,4300208,4300208,AJURICABA,Ajuricaba,2020,Formulário 8,Mandado de prisão cumprido,0,7066,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2021,Formulário 8,Mandado de prisão cumprido,0,7019,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2022,Formulário 8,Mandado de prisão cumprido,0,6942,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2023,Formulário 8,Mandado de prisão cumprido,2,6882,29.06131938390003
Município,4300208,4300208,AJURICABA,Ajuricaba,2024,Formulário 8,Mandado de prisão cumprido,0,6848,0.0
Município,4300208,4300208,AJURICABA,Ajuricaba,2025,Formulário 8,Mandado de prisão cumprido,0,6843,0.0
Município,4300307,4300307,ALECRIM,Alecrim,2015,Formulário 8,Mandado de prisão cumprido,0,6902,0.0
Município,4300307,4300307,ALECRIM,Alecrim,2016,Formulário 8,Mandado de prisão cumprido,3,6828,43.936731107205624
Município,4300307,4300307,ALECRIM,Alecrim,2017,Formulário 8,Mandado de prisão cumprido,0,6761,0.0
Município,4300307,4300307,ALECRIM,Alecrim,2018,Formulário 8,Mandado de prisão cumprido,8,6680,119.76047904191617
Município,4300307,4300307,ALECRIM,Alecrim,2019,Formulário 8,Mandado de prisão cumprido,3,6612,45.37205081669691
